NOM_SP;CHANGEMENTS;Habitat;METHOD_ECHANT;SITE;Origine;Commentaires
Abludomelita sp.;SUPPRIME;Herbiers Intertidaux;;;Reunion 12/05/16;
Abra alba;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Abra segmentum;Abra alba;Herbiers Intertidaux;;;Reunion 12/05/16;On ne fusionne que les donnees de l'observatoire, on laisse les donnees de Roscoff sans fusion
Abra sp.;Abra alba;Intertidal Meuble;;;These Nolwenn;
Abra tenuis;Abra alba;;;;Modif VLG 13/02;
Acanthochitona discrepans;Acanthochitona crinita;;;;Reunion 25/05/20;
Acasta spongites;Sessilia spp.;;;;Reunion 19/01/17;
Achaeus cranchi;Achaeus cranchii;;;;Reunion 19/01/17;
Achaeus sp.;Achaeus cranchii;;;;Reunion 25/05/20;
Acidostoma nodiferum;Acidostoma obesum;;;;Reunion 19/01/17;Actualisation du nom dans worms : synonymie
Acrocnida brachiata;Acrocnida spp.;;;;Reunion 19/01/17;
Acrocnida spatulispina;Acrocnida spp.;;;;Reunion 19/01/17;
Acromegalomma lanigerum;Acromegalomma spp.;;;;Modif VLG 13/02/18;
Acromegalomma longoventrale;Acromegalomma spp.;;;;Reunion 25/05/20;
Acromegalomma spp.;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Actineria sp.;SUPPRIME;;;;Reunion 25/05/20;
Actiniaria sp.;Actiniaria spp.;;;;Reunion 19/01/17;
Adamsia carciniopados;Adamsia palliata;;;;Modif 01/02/18;
Aeginina longicornis;Caprella spp.;;;;Reunion 20/02/17;
Aglaophamus;Aglaophamus sp.;;;;Reunion 25/05/20;
Amaeana trilobata;Polycirrus spp.;;;;Post-reunion 19/01/17;
Amblyosyllis formosa;Syllidae spp.;;;;Reunion 20/02/17;
Amblyosyllis madeirensis;Syllidae spp.;;;;Reunion 20/02/17;
Amblyosyllis sp.;Syllidae spp.;;;;Reunion 20/02/17;
Ampelisca;Ampelisca spp.;;;;Reunion 25/05/20;
Ampelisca anomala;Ampelisca spp.;;;;Reunion 25/05/20;
Ampelisca sp.;Ampelisca spp.;;;;Reunion 12/05/16;
Ampelisca toulemonti;Ampelisca spp.;;;;M2;
Ampharete acutifrons;Ampharete spp.;;;;Reunion 19/01/17;
Ampharete baltica;Ampharete spp.;;;;Reunion 19/01/17;
Ampharete finmarchica;Ampharete spp.;;;;Reunion 19/01/17;
Ampharete goesi;Ampharete spp.;;;;Reunion 25/05/20;
Ampharete lindstroemi;Ampharete spp.;;;;Reunion 19/01/17;
Ampharete sp.;Ampharete spp.;;;;Reunion 19/01/17;
Amphicteis midas;Amphicteis gunneri;;;;Reunion 25/05/20;
Amphilectus fucorum;Porifera spp.;;;;Reunion 20/02/17;
Amphilectus sp.;Porifera spp.;;;;Reunion 20/02/17;
Amphilochus;Apolochus spencebatei;;;;Reunion 25/05/20;
Amphilochus sp.;Apolochus spencebatei;;;;Reunion 19/01/17;1er changement le 19/01/17 en Amphilochus spencebatei puis le 04/02/20 en Apolochus spencebatei car mAj Worms
Amphilochus spencebatei;Apolochus spencebatei;;;;Correction 04/02/20;Actualisation du nom dans worms
Amphipoda spp.;SUPPRIME;;;;Reunion 25/05/20;
Amphitrite cirrata;Amphitrite spp.;;;;Verif 18/03/17;
Amphitrite gracilis;Amphitritides gracilis;;;;Reunion 19/01/17;
Amphitrite sp.;Amphitrite spp.;;;;Verif 18/03/17;
Amphiura;Amphiura spp.;;;;Reunion 25/05/20;
Amphiura (Amphiura) incana;Amphiura spp.;;;;Post-reunion 19/01/17;
Amphiura (Ophiopeltis) securigera;Amphiura spp.;;;;Post-reunion 19/01/17;
Amphiura chiajei;Amphiura spp.;;;;Post-reunion 19/01/17;
Amphiura sp.;Amphiura spp.;;;;Post-reunion 19/01/17;
Ampithoe helleri;Pleonexes helleri;;;;Correction 04/02/20;Actualisation du nom dans worms
Anapagurus chiroacanthus;Anapagurus hyndmanni;;;;Reunion 19/01/17;
Anapagurus laevis;Anapagurus hyndmanni;;;;Reunion 19/01/17;
Anapagurus sp.;Anapagurus hyndmanni;;;;Reunion 12/05/16;Herbiers Intertidaux
Anemonia sp.;SUPPRIME;;;;Reunion 20/02/17;
Anilocra sp1;Anilocra sp.;;;;Reunion 25/05/20;
Anilocra sp2;Anilocra sp.;;;;Reunion 25/05/20;
Anomiidae;SUPPRIME;;;;Reunion 25/05/20;
Anonyx sarsi;Uristidae spp.;;;;M2;
Anthozoa sp.;Actiniaria spp.;;;;Reunion 19/01/17;
Anthuridae sp.;Paranthura nigropunctata;;;;Reunion 19/01/17;
Aonides oxycephala;SUPPRIME;Herbiers Intertidaux;Haveneau;;M2;
Aonides sp.;Aonides oxycephala;;;;Reunion 25/05/20;
Aora;Aora sp.;;;;Reunion 25/05/20;
Aora spinicornis;Aora gracilis;;;;M2;Herbiers Intertidaux
Aora typica;Aora gracilis;;;;Reunion 19/01/17;
Aoridae;Aoridae sp.;;;;Reunion 25/05/20;
Aphelochaeta;Aphelochaeta spp.;;;;Reunion 25/05/20;
Aphelochaeta A;Aphelochaeta spp.;;;;Verif 18/03/17;
Aphelochaeta B;Aphelochaeta spp.;;;;Verif 18/03/17;
Aphelochaeta filiformis;Aphelochaeta spp.;;;;Reunion 20/02/17;
Aphelochaeta marioni;Aphelochaeta cf. marioni;;;;Reunion 19/01/17;
Aphelochaeta sp.;Aphelochaeta spp.;;;;Reunion 19/01/17;
Aphelochaeta sp1;Aphelochaeta spp.;;;;Reunion 19/01/17;
Aphelochaeta type A;Aphelochaeta spp.;;;;Reunion 19/01/17;
Apherusa clevei;Apherusa bispinosa;;;;Reunion 20/02/17;
Aphroceras ensata;Porifera spp.;;;;Reunion 20/02/17;
Aphrodita perarmata;Aphrodita aculeata;;;;Reunion 20/02/17;Confirme par Caro
Aphroditidae spp.;Harmothoe spp.;;;;These Nolwenn;Present qu'en Intertidal Meuble
Aplidium spp.;SUPPRIME;;;;Reunion 20/02/17;
Aplysia depilans;Aplysia punctata;;;;M2;Present qu'en Herbiers Intertidaux
Aplysia sp.;Aplysia punctata;;;;Verif 18/03/17;
Apocorophium acutum;Corophium spp.;;;;Reunion 19/01/17;
Apseudes holthuisi;Apseudes talpa;;;;Reunion 25/05/20;
Apseudes sp.;Apseudopsis latreillii;;;;Reunion 19/01/17;
Apseudopsis adami;Apseudopsis latreillii;;;;Reunion 25/05/20;
