,point,date,latitude,longitude,date0,closest_point,distance_to_point
1,Rozegat 1,2019-02-21T00:00:00,48.3203833333333,-4.38765,2018-11-23T00:00:00,47846,93.12893944566754
2,Rozegat 1,2022-04-15T00:00:00,48.3203833333333,-4.38765,2022-01-15T00:00:00,47846,93.12893944566754
3,Rozegat 1,2023-03-18T00:00:00,48.3203833333333,-4.38765,2022-12-18T00:00:00,47846,93.12893944566754
4,Rozegat 2,2019-02-21T00:00:00,48.32195,-4.37116666666667,2018-11-23T00:00:00,47898,220.76399649119358
5,Rozegat 2,2022-04-15T00:00:00,48.32195,-4.37116666666667,2022-01-15T00:00:00,47898,220.76399649119358
6,Rozegat 2,2023-03-18T00:00:00,48.32195,-4.37116666666667,2022-12-18T00:00:00,47898,220.76399649119358
7,Rozegat 3,2019-02-21T00:00:00,48.31355,-4.3653,2018-11-23T00:00:00,47813,184.14154018592944
8,Rozegat 3,2022-04-15T00:00:00,48.31355,-4.3653,2022-01-15T00:00:00,47813,184.14154018592944
9,Rozegat 3,2023-03-18T00:00:00,48.31355,-4.3653,2022-12-18T00:00:00,47813,184.14154018592944
10,Meaban 1,2019-02-20T00:00:00,47.526,-2.9315333333,2018-11-22T00:00:00,109384,284.0571794908217
11,Meaban 1,2022-03-24T00:00:00,47.526,-2.9315333333,2021-12-24T00:00:00,109384,284.0571794908217
12,Meaban 1,2023-03-15T00:00:00,47.526,-2.9315333333,2022-12-15T00:00:00,109384,284.0571794908217
13,Glenan 2,2019-02-19T00:00:00,47.7349666666667,-4.00031666666667,2018-11-21T00:00:00,39882,228.23121223438764
14,Glenan 2,2022-03-26T00:00:00,47.7349666666667,-4.00031666666667,2021-12-26T00:00:00,39882,228.23121223438764
15,Glenan 2,2023-03-16T00:00:00,47.7349666666667,-4.00031666666667,2022-12-16T00:00:00,39882,228.23121223438764
16,Saint-Brieuc 1,2019-02-25T00:00:00,48.7871333333333,-2.87,2018-11-27T00:00:00,63072,145.58701569443477
17,Saint-Brieuc 1,2022-03-29T00:00:00,48.7871333333333,-2.87,2021-12-29T00:00:00,63072,145.58701569443477
