gml_id,id,biocenose,code_ch,eunis12_c,code_eur,code_mnhn,ifr,comment_,date_supp,date_val,ech_num,hab_part,ic,method_num,method_val,auteur,org_aut,validateur,org_val,programme,rec_hab,substrat,surf_m2,validation,zone,metadonnee,surf_tot,maerl_rec,maerl_vit,area_carte,site
maj.3602,3602.000000000000000,Bancs de maërl (>100%),1110-3,A5.51,"1110",B3-4,,,"1996",01/12/2020,1 : 5000,,2.000000000000000,Interpolation linéaire (Shom 7151),Prélèvement,,Idra bio et littoral,,Idra bio et littoral,,,,9168.145454158075154,Oui,Guerheon,https://data.ofb.fr/catalogue/srv/fre/catalog.search#/metadata/11cbc2da-de1d-468f-b6d4-7499e66ad9a9,,,,"2476558",Morlaix
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2753153",Meaban
maj.3589,3589.000000000000000,Bancs de maërl (Osb vidéos ]5 - 15]),1110-3,A5.51,"1110",B3-4,,,"1996",27/11/2021,1 : 5000,,2.000000000000000,Interpolation linéaire (Shom 7154),Prélèvement,,Idra bio et littoral,,Idra bio et littoral,,,,29673.746017217636108,Oui,L'Ost-Pic,https://data.ofb.fr/catalogue/srv/fre/catalog.search#/metadata/11cbc2da-de1d-468f-b6d4-7499e66ad9a9,,,,"44080393",Saint-Brieuc
maj.261,261.000000000000000,Maërl,,,,,Bancs de maërl propre : niveau 2,-N308 - L<2m,"2007",,2000 à 10000,Bancs de maërl,0.000000000000000,"-",,Axel et al Ehrhold et al,Ifremer,,,Rebent,0.000000000000000,maërl,98493.894563895737519,,Dunes et côtes de Trévignon,https://data.ofb.fr/catalogue/srv/fre/catalog.search#/metadata/411825a1-77e2-4462-8242-41d89b6a9f6a,,,,"7835812",Trevignon
maj.267,267.000000000000000,,1110-3,A5.514,"1110",,Bancs de maërl envasé : niveau 2,trace suceuse sur le fond,2003-2005,15/02/2006,2000 à 10000,Bancs de maërl,0.000000000000000,"Interpretation (Sonar,Lidar)",,Dominique Hamon,Ifremer,,,Rebent,0.000000000000000,,44574.084173022267350,,Archipel des Glénan,https://data.ofb.fr/catalogue/srv/fre/catalog.search#/metadata/80d7c65a-a2da-45ee-99a5-5affbd7f08f7,,,,"28340009",Glenan
maj.180,180.000000000000000,"Maërl, 10-50 % vivant",1110-3,,"1110",,,"Légende auteur : 1110-3 -  Sables grossiers et graviers, bancs de maerl",,,,,,"Interpolation (Points GPS, plan d'échantillonnage)",,,TBM,,,,,,74675.112093636897043,,Belle-Ile en mer,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/2f9fdeb0-4701-11df-bae0-005056981ded,,,,"32916324",Belle-Ile
maj.192,192.000000000000000,Maërl à [Lithothamnium corrallioides ],1110-3,,"1110",,Bancs de maërl envasé,,"2000",,1/2000e,,,Photo-interprétation,Observation terrain,DYNECO/LEBCO,Ifremer,LARZILLIERE,"LEMAR, IUEM",Natura 2000 Bretagne,,Vase,13067.289743965229718,OUI,rade de Brest,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/ad448666-eff5-4224-9728-23ee9d23f269,,,,"17071698",Rozegat
maj.1196,1196.000000000000000,Maërl à [Phymatolithon calcareum],1110-3,,"1110",,Bancs de maërl propre,,2007-2013,,1/2000e,,,Photo-interprétation,Observations/Croisement d’informations/Dire d’Expert,DYNECO/LEBCO,Ifremer,Bajjouk/Grall,Ifremer/IUEM,ReBent subtidal,,Sable graveleux,80.462890177965164,OUI,rade de Brest,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/ad448666-eff5-4224-9728-23ee9d23f269,,,,"9351626",Camaret
maj.1194,1194.000000000000000,Maërl à [Lithothamnium corrallioides ],1110-3,,"1110",,Bancs de maërl envasé,,2007-2013,,1/2000e,,,Photo-interprétation,Observations/Croisement d’informations/Dire d’Expert,DYNECO/LEBCO,Ifremer,Bajjouk/Grall,Ifremer/IUEM,ReBent subtidal,,Sédiment grossier vaseux,8.363554232288152,OUI,rade de Brest,https://sextant.ifremer.fr/Donnees/Catalogue#/metadata/ad448666-eff5-4224-9728-23ee9d23f269,,,,"18511212",Keraliou
maj.30,30.000000000000000,Sable moyen à grossier avec graviers/cailloutis et maërl vivant et mort,,,,,,,,,,,,,27/02/2023,HMA,creocean,,,,,,50862.030270078452304,,secteur des Pourceaux dans l'archipel de Molène,https://data.ofb.fr/catalogue/srv/fre/catalog.search#/metadata/0556cff4-db2a-4503-a7d0-cfbd4bba9948,,,,"10451159",Molene
