,point,date,uwnd_mean,uwnd_median,uwnd_sd,uwnd_min,uwnd_max
0,Rozegat 1,2019-02-21T00:00:00,2.1031947135925293,1.7000000476837158,3.7238712310791016,-7.599999904632568,12.199999809265137
1,Rozegat 1,2022-04-15T00:00:00,0.8958796262741089,0.6000000238418579,3.8743131160736084,-7.300000190734863,13.40000057220459
2,Rozegat 1,2023-03-18T00:00:00,2.0156946182250977,2.0,4.222697734832764,-6.400000095367432,13.600000381469727
3,Rozegat 2,2019-02-21T00:00:00,2.0466666221618652,1.7000000476837158,3.6555700302124023,-7.5,12.0
4,Rozegat 2,2022-04-15T00:00:00,0.865694522857666,0.550000011920929,3.807302236557007,-7.200000286102295,13.199999809265137
5,Rozegat 2,2023-03-18T00:00:00,1.9641667604446411,2.0,4.143406391143799,-6.300000190734863,13.199999809265137
6,Rozegat 3,2019-02-21T00:00:00,2.053889036178589,1.7000000476837158,3.6981143951416016,-7.599999904632568,12.100000381469727
7,Rozegat 3,2022-04-15T00:00:00,0.8613889217376709,0.5,3.8416409492492676,-7.300000190734863,13.300000190734863
8,Rozegat 3,2023-03-18T00:00:00,1.9778704643249512,2.0,4.174029350280762,-6.300000190734863,13.5
9,Meaban 1,2019-02-20T00:00:00,2.6756017208099365,2.299999952316284,5.511497497558594,-10.199999809265137,16.0
10,Meaban 1,2022-03-24T00:00:00,1.7026852369308472,1.5,5.476790428161621,-9.90000057220459,16.899999618530273
11,Meaban 1,2023-03-15T00:00:00,2.2153704166412354,2.4000000953674316,5.8860392570495605,-9.699999809265137,20.700000762939453
12,Glenan 2,2019-02-19T00:00:00,3.0156946182250977,3.1000001430511475,5.914364814758301,-12.100000381469727,16.200000762939453
13,Glenan 2,2022-03-26T00:00:00,1.820509433746338,1.7000000476837158,5.960556507110596,-10.699999809265137,19.200000762939453
14,Glenan 2,2023-03-16T00:00:00,2.649259328842163,2.8499999046325684,6.344728946685791,-9.100000381469727,19.200000762939453
15,Saint-Brieuc 1,2019-02-25T00:00:00,2.447129726409912,2.4000000953674316,4.315199375152588,-7.900000095367432,14.199999809265137
16,Saint-Brieuc 1,2022-03-29T00:00:00,1.5768518447875977,1.7000000476837158,5.109713077545166,-9.800000190734863,15.199999809265137
17,Saint-Brieuc 1,2023-03-21T00:00:00,1.9279628992080688,2.9000000953674316,5.214536190032959,-10.300000190734863,16.600000381469727
18,Saint-Brieuc 2,2019-02-25T00:00:00,2.4319443702697754,2.4000000953674316,4.232933044433594,-7.700000286102295,14.199999809265137
19,Saint-Brieuc 2,2022-03-29T00:00:00,1.5725927352905273,1.7000000476837158,4.982571125030518,-9.5,14.800000190734863
20,Saint-Brieuc 2,2023-03-21T00:00:00,1.9196759462356567,2.8499999046325684,5.072111129760742,-10.0,16.100000381469727
21,Saint-Brieuc 3,2019-02-25T00:00:00,2.4523608684539795,2.4000000953674316,4.318978786468506,-7.900000095367432,14.300000190734863
22,Saint-Brieuc 3,2022-03-29T00:00:00,1.5820833444595337,1.7000000476837158,5.112217426300049,-9.800000190734863,15.199999809265137
23,Saint-Brieuc 3,2023-03-21T00:00:00,1.9343982934951782,2.9000000953674316,5.211004257202148,-10.199999809265137,16.600000381469727
24,Belle-ile 1,2019-02-20T00:00:00,3.1284260749816895,3.0,6.194379806518555,-11.300000190734863,18.80000114440918
25,Belle-ile 1,2022-03-25T00:00:00,1.777592658996582,1.5,6.197793960571289,-11.300000190734863,18.700000762939453
26,Belle-ile 1,2023-03-15T00:00:00,2.2531943321228027,2.5,6.891911506652832,-12.0,23.200000762939453
27,Belle-ile 2,2019-02-20T00:00:00,3.1284260749816895,3.0,6.194379806518555,-11.300000190734863,18.80000114440918
28,Belle-ile 2,2022-03-25T00:00:00,1.777592658996582,1.5,6.197793960571289,-11.300000190734863,18.700000762939453
29,Belle-ile 2,2023-03-15T00:00:00,2.2531943321228027,2.5,6.891911506652832,-12.0,23.200000762939453
30,Belle-ile 3,2019-02-20T00:00:00,3.1284260749816895,3.0,6.194379806518555,-11.300000190734863,18.80000114440918
31,Belle-ile 3,2022-03-25T00:00:00,1.777592658996582,1.5,6.197793960571289,-11.300000190734863,18.700000762939453
32,Belle-ile 3,2023-03-15T00:00:00,2.2531943321228027,2.5,6.891911506652832,-12.0,23.200000762939453
33,Camaret 1,2019-02-22T00:00:00,2.7258799076080322,2.4000000953674316,4.693411827087402,-8.90000057220459,14.90000057220459
34,Camaret 1,2022-03-27T00:00:00,1.980138897895813,1.7000000476837158,5.025083541870117,-8.5,15.699999809265137
35,Camaret 1,2023-03-18T00:00:00,2.5131945610046387,2.75,5.228784084320068,-7.599999904632568,17.899999618530273
36,Camaret 3,2019-02-22T00:00:00,2.7283334732055664,2.4000000953674316,4.701580047607422,-8.90000057220459,15.0
37,Camaret 3,2022-03-27T00:00:00,1.979490876197815,1.600000023841858,5.029036998748779,-8.5,15.800000190734863
38,Camaret 3,2023-03-18T00:00:00,2.5152316093444824,2.700000047683716,5.234211444854736,-7.599999904632568,17.899999618530273
39,Molene 1,2019-02-22T00:00:00,3.3185648918151855,3.200000047683716,5.580240726470947,-12.40000057220459,17.899999618530273
40,Molene 1,2022-03-27T00:00:00,2.461296558380127,2.4000000953674316,5.826319694519043,-9.0,17.700000762939453
41,Molene 1,2023-03-19T00:00:00,2.9424076080322266,3.700000047683716,6.086239814758301,-8.600000381469727,20.399999618530273
42,Molene 2,2019-02-22T00:00:00,3.3185648918151855,3.200000047683716,5.580240726470947,-12.40000057220459,17.899999618530273
43,Molene 2,2022-03-27T00:00:00,2.461296558380127,2.4000000953674316,5.826319694519043,-9.0,17.700000762939453
44,Molene 2,2023-03-19T00:00:00,2.9424076080322266,3.700000047683716,6.086239814758301,-8.600000381469727,20.399999618530273
45,Morlaix 1,2019-02-12T00:00:00,2.330138921737671,2.0,4.799480438232422,-10.5,14.90000057220459
46,Morlaix 1,2022-03-02T00:00:00,3.0765740871429443,2.9000000953674316,5.060944080352783,-9.300000190734863,14.800000190734863
47,Morlaix 1,2023-02-20T00:00:00,1.9513888359069824,2.450000047683716,5.228982448577881,-10.40000057220459,14.199999809265137
48,Morlaix 2,2019-02-12T00:00:00,2.175185203552246,1.899999976158142,4.442732810974121,-9.600000381469727,14.0
49,Morlaix 2,2022-03-02T00:00:00,2.868333339691162,2.700000047683716,4.683927059173584,-8.5,13.699999809265137
50,Morlaix 2,2023-02-20T00:00:00,1.815324068069458,2.200000047683716,4.815831661224365,-9.5,13.100000381469727
51,Morlaix 3,2019-02-12T00:00:00,2.175185203552246,1.899999976158142,4.442732810974121,-9.600000381469727,14.0
52,Morlaix 3,2022-03-02T00:00:00,2.868333339691162,2.700000047683716,4.683927059173584,-8.5,13.699999809265137
53,Morlaix 3,2023-02-20T00:00:00,1.815324068069458,2.200000047683716,4.815831661224365,-9.5,13.100000381469727
54,Trevignon 1,2019-02-19T00:00:00,2.4823150634765625,2.5,5.044876575469971,-10.40000057220459,13.800000190734863
55,Trevignon 1,2022-03-25T00:00:00,1.5763425827026367,1.5,5.072388172149658,-9.199999809265137,17.80000114440918
56,Trevignon 1,2023-03-16T00:00:00,2.2592129707336426,2.3499999046325684,5.383284091949463,-7.800000190734863,16.600000381469727
57,Trevignon 2,2019-02-19T00:00:00,2.4823150634765625,2.5,5.044876575469971,-10.40000057220459,13.800000190734863
58,Trevignon 2,2022-03-25T00:00:00,1.5763425827026367,1.5,5.072388172149658,-9.199999809265137,17.80000114440918
59,Trevignon 2,2023-03-16T00:00:00,2.2592129707336426,2.3499999046325684,5.383284091949463,-7.800000190734863,16.600000381469727
60,Meaban 2,2019-02-20T00:00:00,2.6756017208099365,2.299999952316284,5.511497497558594,-10.199999809265137,16.0
61,Meaban 2,2022-03-24T00:00:00,1.7026852369308472,1.5,5.476790428161621,-9.90000057220459,16.899999618530273
62,Meaban 2,2023-03-15T00:00:00,2.2153704166412354,2.4000000953674316,5.8860392570495605,-9.699999809265137,20.700000762939453
63,Keraliou 1,2019-02-21T00:00:00,2.0385186672210693,1.7000000476837158,3.47983717918396,-7.0,11.5
64,Keraliou 1,2022-04-15T00:00:00,0.907037079334259,0.699999988079071,3.7196595668792725,-7.099999904632568,13.0
65,Keraliou 1,2023-03-18T00:00:00,1.9502314329147339,2.0,4.060689926147461,-6.700000286102295,12.699999809265137
66,Keraliou 2,2019-02-21T00:00:00,2.0554168224334717,1.7000000476837158,3.508493423461914,-7.0,11.600000381469727
67,Keraliou 2,2022-04-15T00:00:00,0.9144444465637207,0.699999988079071,3.7459614276885986,-7.099999904632568,13.100000381469727
68,Keraliou 2,2023-03-18T00:00:00,1.9666203260421753,2.0,4.090191841125488,-6.700000286102295,12.800000190734863
69,Keraliou 3,2019-02-21T00:00:00,2.1108334064483643,1.8000000715255737,3.5951476097106934,-7.099999904632568,11.90000057220459
70,Keraliou 3,2022-04-15T00:00:00,0.937175989151001,0.699999988079071,3.8252177238464355,-7.200000286102295,13.300000190734863
71,Keraliou 3,2023-03-18T00:00:00,2.0181946754455566,2.1000001430511475,4.177984237670898,-6.800000190734863,13.199999809265137
72,Glenan 1,2019-02-19T00:00:00,3.0236573219299316,3.1000001430511475,5.920284748077393,-12.199999809265137,16.200000762939453
73,Glenan 1,2022-03-26T00:00:00,1.8265278339385986,1.7000000476837158,5.969154357910156,-10.699999809265137,19.200000762939453
74,Glenan 1,2023-03-16T00:00:00,2.653935194015503,2.8499999046325684,6.357010841369629,-9.100000381469727,19.30000114440918
75,Glenan 3,2019-02-19T00:00:00,2.9774539470672607,3.0,5.8566412925720215,-12.0,16.0
76,Glenan 3,2022-03-26T00:00:00,1.7869906425476074,1.6500000953674316,5.903407573699951,-10.600000381469727,19.30000114440918
77,Glenan 3,2023-03-16T00:00:00,2.6024537086486816,2.799999952316284,6.286210536956787,-9.0,19.200000762939453
78,Camaret 2,2019-02-22T00:00:00,2.7283334732055664,2.4000000953674316,4.701580047607422,-8.90000057220459,15.0
79,Camaret 2,2022-03-27T00:00:00,1.979490876197815,1.600000023841858,5.029036998748779,-8.5,15.800000190734863
80,Camaret 2,2023-03-18T00:00:00,2.5152316093444824,2.700000047683716,5.234211444854736,-7.599999904632568,17.899999618530273
81,Molene 3,2019-02-22T00:00:00,3.3185648918151855,3.200000047683716,5.580240726470947,-12.40000057220459,17.899999618530273
82,Molene 3,2022-03-27T00:00:00,2.461296558380127,2.4000000953674316,5.826319694519043,-9.0,17.700000762939453
83,Molene 3,2023-03-19T00:00:00,2.9424076080322266,3.700000047683716,6.086239814758301,-8.600000381469727,20.399999618530273
84,Trevignon 3,2019-02-19T00:00:00,2.516944408416748,2.5,5.10690450668335,-10.5,13.90000057220459
85,Trevignon 3,2022-03-25T00:00:00,1.5970834493637085,1.5,5.129538536071777,-9.300000190734863,17.899999618530273
86,Trevignon 3,2023-03-16T00:00:00,2.2871758937835693,2.4000000953674316,5.44517183303833,-7.900000095367432,16.80000114440918
87,Meaban 3,2019-02-20T00:00:00,2.6756017208099365,2.299999952316284,5.511497497558594,-10.199999809265137,16.0
88,Meaban 3,2022-03-24T00:00:00,1.7026852369308472,1.5,5.476790428161621,-9.90000057220459,16.899999618530273
89,Meaban 3,2023-03-15T00:00:00,2.2153704166412354,2.4000000953674316,5.8860392570495605,-9.699999809265137,20.700000762939453
