"","species","worms_id"
"1","Abludomelita gladiosa",102787
"2","Amphipholis squamata",125064
"3","Anapagurus hyndmanni",107217
"4","Aonides oxycephala",131106
"5","Bittium reticulatum",139054
"6","Callochiton septemvalvis",140132
"7","Clausinella fasciata",141909
"8","Crisilla semistriata",141280
"9","Cymodoce truncata",118936
"10","Eulalia mustela",130631
"11","Eurysyllis tuberculata",131288
"12","Harmothoe impar",130770
"13","Heteromastus filiformis",129884
"14","Laonice bahusiensis",131127
"15","Lepidochitona cinerea",152774
"16","Lepidonotus",129496
"17","Leptocheirus tricristatus",102041
"18","Leptochiton cancellatus",140201
"19","Lumbrineris",129337
"20","Lysidice unicornis",742232
"21","Malmgrenia ljungmani",152304
"22","Manzonia crassa",141291
"23","Nereimyra punctata",130185
"24","Nereiphylla rubiginosa",130659
"25","Notomastus latericeus",129898
"26","Odontosyllis gibba",131328
"27","Oligochaeta",2036
"28","Onoba semicostata",141320
"29","Ophiothrix fragilis",125131
"30","Paradoneis lyra",130585
"31","Paranthura nigropunctata",118510
"32","Pholoe inornata",130601
"33","Pisidia longicornis",107188
"34","Pista",129708
"35","Platynereis dumerilii",130417
"36","Polititapes rhomboides",745846
"37","Protodorvillea kefersteini",130041
"38","Psamathe fusca",152249
"39","Psammechinus miliaris",124319
"40","Schistomeringos neglecta",130044
"41","Spirobranchus",129582
"42","Syllis garciai",131431
"43","Terebellides",129717
"44","Thalassema thalassema",110375
"45","Trichobranchus glacialis",131574
"46","Animoceradocus semiserratus",531364
"47","Arcopagia crassa",141577
"48","Branchiostoma lanceolatum",104906
"49","Caulleriella bioculata",129944
"50","Dosinia exoleta",141911
"51","Eumida",129446
"52","Gari tellinella",140873
"53","Gibbula magus",141790
"54","Glycera lapidum",130123
"55","Goodallia triangularis",138831
"56","Janira maculosa",118732
"57","Malmgrenia",147006
"58","Notophyllum foliosum",130661
"59","Platyhelminthes",793
"60","Polygordius lacteus",130714
"61","Pterocirrus macroceros",130686
